1
99
('28', '9')
('9', '19')
('19', '59')
('59', '11')
('11', '13')
('13', '47')
('47', '10')
('10', '25')
('25', '12')
('12', '97')
('97', '18')
('18', '21')
('21', '43')
('43', '15')
('15', '94')
('94', '16')
('16', '62')
('62', '17')
('17', '34')
('34', '14')
('14', '92')
('92', '2')
('2', '22')
('22', '57')
('57', '3')
('3', '50')
('50', '6')
('6', '52')
('52', '1')
('1', '99')
('99', '20')
('20', '30')
('30', '8')
('8', '54')
('54', '5')
('5', '39')
('39', '4')
('4', '31')
('31', '0')
('0', '81')
('81', '7')
('7', '42')
('7', '37')
('7', '71')
('7', '76')
('7', '24')
('7', '74')
('7', '58')
('7', '66')
('7', '77')
('7', '72')
('7', '51')
('7', '83')
('7', '90')
('7', '48')
('7', '75')
('7', '32')
('7', '70')
('7', '27')
('7', '36')
('7', '69')
('7', '79')
('7', '55')
('7', '56')
('7', '49')
('7', '23')
('7', '35')
('7', '78')
('7', '53')
('7', '68')
('7', '91')
('7', '61')
('7', '82')
('7', '29')
('7', '98')
('7', '26')
('7', '40')
('7', '73')
('7', '80')
('7', '86')
('7', '46')
('7', '67')
('7', '33')
('7', '96')
('7', '89')
('7', '64')
('7', '63')
('7', '38')
('7', '87')
('7', '85')
('7', '93')
('7', '95')
('7', '41')
('7', '60')
('7', '88')
('7', '44')
('7', '65')
('7', '45')
('7', '84')
